AAC	
Accelr8	AXK	
Acme United	ACU	
Adams Resources	AE	
Adcare Health Systems	ADK	
Adherex	ADH	
Advanced Photonix	API	
Adventrx	ANX	
Aerocentury	ACY	
Aerosonic	AIM	
Alexco Resource Corp	AXU	
Allied Defense	ADG	
Allied Nevada Gold Corp	ANV	
Almaden	AAU	
Alpha Pro	APT	
Alpha Security Grp. Corp.	HDS	
Alyst Acquisition Corp	AYA	
Amcon	DIT	
Amdl	ADL	
American Apparel Inc	APP	
American Biltrite	ABL	
American Community Properties	APO	
American Israeli Paper	AIP	
American Oil & Gas	AEZ	
American Shared Hospital Service	AMS	
American Spectrum	AQQ	
Amerivest	AMV	
Ampex	AXC	
Analex	NLX	
Anooraq	ANO	
Antares	AIS	
Apex Silver Mines	SIL	
Apollo Gold	AGT	
Arcadia Resources	KAD	
Argan Inc.	AGX	
Arrhythmia	HRT	
Asia Time Corp	TYM	
Aspyra	APY	
Atlas Acquisition Holdings Corp	AXG	
Augusta Resource Corp.	AZC	
Aurizon Mines	AZK	
Aurora Oil Gas Corp.	AOG	
Austral Pacific	AEN	
Avalon	AWX	
Axesstel	AFT
B H Ocean Carrier	BHO	
Baker Michael	BKR	
Baldwin	BLD	
Ballantyne of Omaha	BTN	
Bancorp of New Jersey Inc.	BKJ	
Bank America Corp	SHR	
Banks.com	BNX	
Banro	BAA	
Bar Harbor Bankshrs	BHB	
Barnwell	BRN	
Beverly National Corp.	BNV	
Birks & Mayors	BMJ	
Black Rock Ca Invest	RAA	
Black Rock Fl Invest	RFA	
Black Rock Nj Invest	RNJ	
Black Rock Ny Invest	RNY	
Blackrock Broad	BCT	
Blackrock Cal Mun Ii	BCL	
Blackrock Maryland Municipal Bond	BZM	
Blackrock Municipal Income Trust	BLE	
Blackrock New Jersey Municipal Bond	BLJ	
Blackrock Ny Muni Ii	BFY	
Blackrock Pa St Muni	BPS	
Blackrock Va Muni Bd	BHV	
Blonder Tongue	BDR	
Bmb Munai	KAZ	
Boots & Coots	WEL	
Bovie	BVX	
Bowl America	BWL.A	
Bpw Acquisition Corp	BPW	
Bpz Resources	BPZ	
Br S & P Ql Rk Glb Eq	BQY	
Breeze-eastern Corp.	BZC	
British American Tobacco	BTI
C C A	CAW	
C P I Aerostructures	CVU	
Cabeltel	GBR	
Cagles	CGL.A	
Canadian Superior	SNG	
Canargo	CNR	
Cano	CFW	
Caraco	CPD	
Cardero	CDY	
Cardium Therapeutics	CXM	
Cash Technologies	TQ	
Castle Brands	ROX	
Cavalier Homes	CAV	
Ce Franklin	CFK	
Cel Sci	CVM	
Centerplate	CVP	
Central Goldtrust	GTU	
Central Securities	CET	
Cf Texas Inst Sequin	CXZ	
Cgf Best Buy Elks	EBY	
Challenger Energy Corp	CHQ	
Chase	CCF	
Cheniere	LNG	
Chicago Rivet Mach	CVR	
China Green Agriculture	CGA	
China Healthcare Acquisition Corp	CHM	
China Holdings Acquisition Corp.	HOL	
China Shen Zhou Mining Resources	SHZ	
China Shenghuo Pharmaceutical Holdings	KUN	
Chromcraft Revington	CRC	
